Product Name,Price,Product Link
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB)","₹12,999",https://www.flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-breeze-blue-128-gb/p/itma30cb38861d4c?pid=MOBH2Q4PN6FWZCGV&lid=LSTMOBH2Q4PN6FWZCGVPMAT2I&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&iid=en_YbYvMRI4pC630AEP10tM4q77jwhhiAW5pwgcsrTv3w1fW_MC8v8bXh0RZw_ujap-lau-QM0xRJRxyjTMVKa6kw%3D%3D&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"CMF by Nothing Phone 1 (Orange, 128 GB)","₹16,499",https://www.flipkart.com/cmf-nothing-phone-1-orange-128-gb/p/itmeef68c7ce70bf?pid=MOBHYBQTZKQKXBAY&lid=LSTMOBHYBQTZKQKXBAYIM6CMX&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&iid=en_YbYvMRI4pC630AEP10tM4q77jwhhiAW5pwgcsrTv3w0ohdfFQHp4Txd-HnCNWqbRXCXUQE54C59QAqf8VCfH0_UFjCTyOHoHZs-Z5_PS_w0%3D&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 (Blue, 128 GB)","₹57,999",https://www.flipkart.com/apple-iphone-15-blue-128-gb/p/itmbf14ef54f645d?pid=MOBGTAGPAQNVFZZY&lid=LSTMOBGTAGPAQNVFZZY7RHDU7&marketplace=FLIPKART&q=phone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPAQNVFZZY.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 Plus (Blue, 128 GB)","₹65,999",https://www.flipkart.com/apple-iphone-15-plus-blue-128-gb/p/itm4022c14383050?pid=MOBGTAGPE4F2HAW7&lid=LSTMOBGTAGPE4F2HAW7NDYSPY&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPE4F2HAW7.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Google Pixel 7a (Snow, 128 GB)","₹31,999",https://www.flipkart.com/google-pixel-7a-snow-128-gb/p/itmb4d7b100b1a4d?pid=MOBGZCQMZXYXCZCH&lid=LSTMOBGZCQMZXYXCZCHTTFGG3&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&iid=en_YbYvMRI4pC630AEP10tM4q77jwhhiAW5pwgcsrTv3w3t9heOU5zmHAJHCdHy-PaOxMIdfKMEazh_Jp-GN3vQz_UFjCTyOHoHZs-Z5_PS_w0%3D&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 (Pink, 128 GB)","₹57,999",https://www.flipkart.com/apple-iphone-15-pink-128-gb/p/itm7579ed94ca647?pid=MOBGTAGPNMZA5PU5&lid=LSTMOBGTAGPNMZA5PU51YWTGZ&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPNMZA5PU5.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 (Green, 128 GB)","₹57,999",https://www.flipkart.com/apple-iphone-15-green-128-gb/p/itm235cd318bde73?pid=MOBGTAGPYYWZRUJX&lid=LSTMOBGTAGPYYWZRUJXUGY7PM&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPYYWZRUJX.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 (Black, 128 GB)","₹57,999",https://www.flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4?pid=MOBGTAGPTB3VS24W&lid=LSTMOBGTAGPTB3VS24WVZNSC6&marketplace=FLIPKART&q=phone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPTB3VS24W.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹23,999",https://www.flipkart.com/motorola-edge-50-fusion-marshmallow-blue-256-gb/p/itmdcb7e2baaaa91?pid=MOBGXTYZBAS4VM8K&lid=LSTMOBGXTYZBAS4VM8KYYUZ0I&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGXTYZBAS4VM8K.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 Plus (Black, 128 GB)","₹65,999",https://www.flipkart.com/apple-iphone-15-plus-black-128-gb/p/itme3a53984760fb?pid=MOBGTAGPNRQA7CS3&lid=LSTMOBGTAGPNRQA7CS3L7XK7L&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPNRQA7CS3.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 Plus (Green, 128 GB)","₹65,999",https://www.flipkart.com/apple-iphone-15-plus-green-128-gb/p/itmaa50abb5e6c3b?pid=MOBGTAGPJVGHTAYC&lid=LSTMOBGTAGPJVGHTAYCTGIMN2&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPJVGHTAYC.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 (Blue, 256 GB)","₹67,999",https://www.flipkart.com/apple-iphone-15-blue-256-gb/p/itm986f66c53cae4?pid=MOBGTAGPNEZZY2YR&lid=LSTMOBGTAGPNEZZY2YRE1FCIG&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPNEZZY2YR.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"vivo T3 Lite 5G (Majestic Black, 128 GB)","₹11,499",https://www.flipkart.com/vivo-t3-lite-5g-majestic-black-128-gb/p/itm977c89a44d373?pid=MOBHFTYB4ZHAAGFS&lid=LSTMOBHFTYB4ZHAAGFS9V33ZB&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBHFTYB4ZHAAGFS.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"vivo T3 Lite 5G (Vibrant Green, 128 GB)","₹11,499",https://www.flipkart.com/vivo-t3-lite-5g-vibrant-green-128-gb/p/itm977c89a44d373?pid=MOBHFTYBA6V3RVZE&lid=LSTMOBHFTYBA6V3RVZE3H4WTW&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBHFTYBA6V3RVZE.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 (Black, 256 GB)","₹67,999",https://www.flipkart.com/apple-iphone-15-black-256-gb/p/itm6f0727e3e3b52?pid=MOBGTAGPSMHFKHT5&lid=LSTMOBGTAGPSMHFKHT5QSQH4U&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPSMHFKHT5.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"vivo T3 Lite 5G (Vibrant Green, 128 GB)","₹10,499",https://www.flipkart.com/vivo-t3-lite-5g-vibrant-green-128-gb/p/itm977c89a44d373?pid=MOBHFTYBGJ7RW9ZQ&lid=LSTMOBHFTYBGJ7RW9ZQRJTON0&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBHFTYBGJ7RW9ZQ.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"vivo T3 Lite 5G (Majestic Black, 128 GB)","₹10,499",https://www.flipkart.com/vivo-t3-lite-5g-majestic-black-128-gb/p/itm977c89a44d373?pid=MOBHFTYBDGMZMT9U&lid=LSTMOBHFTYBDGMZMT9UN8473W&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBHFTYBDGMZMT9U.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"vivo T3x 5G (Crimson Bliss, 128 GB)","₹14,499",https://www.flipkart.com/vivo-t3x-5g-crimson-bliss-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEPA4FFHCV&lid=LSTMOBGZRNEPA4FFHCVQ1YECQ&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGZRNEPA4FFHCV.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"REDMI 13C (Starfrost White, 128 GB)","₹7,199",https://www.flipkart.com/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJDWQTOQ&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGWUHSZKWBZQWJ.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"vivo T3x 5G (Celestial Green, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t3x-5g-celestial-green-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEHZHTGNJ5&lid=LSTMOBGZRNEHZHTGNJ5KIBQXQ&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGZRNEHZHTGNJ5.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"vivo T3x 5G (Crimson Bliss, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t3x-5g-crimson-bliss-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEQGWCCN4D&lid=LSTMOBGZRNEQGWCCN4DPIBMCT&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGZRNEQGWCCN4D.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"REDMI 13C (Stardust Black, 128 GB)","₹7,199",https://www.flipkart.com/redmi-13c-stardust-black-128-gb/p/itm9b22752239e4d?pid=MOBGW4HKVU4ZGZFZ&lid=LSTMOBGW4HKVU4ZGZFZCHB6WV&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGW4HKVU4ZGZFZ.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"Apple iPhone 15 Plus (Pink, 128 GB)","₹65,999",https://www.flipkart.com/apple-iphone-15-plus-pink-128-gb/p/itmecb6209a78172?pid=MOBGTAGPXUWEXXWY&lid=LSTMOBGTAGPXUWEXXWYKVXCUT&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBGTAGPXUWEXXWY.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"vivo T3x 5G (Sapphire Blue, 128 GB)","₹14,499",https://www.flipkart.com/vivo-t3x-5g-sapphire-blue-128-gb/p/itm263ed44f56cd5?pid=MOBH4EACUN3RESHP&lid=LSTMOBH4EACUN3RESHPLITWXO&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&iid=b83cf281-732d-4302-8769-9e5cc987c7d5.MOBH4EACUN3RESHP.SEARCH&ssid=p542x5nrgtb1olj41728902931834&qH=f7a42fe7211f98ac
"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)","₹10,999",https://www.flipkart.com/samsung-galaxy-a14-5g-dark-red-128-gb/p/itma8393faabfb76?pid=MOBGHT8UUUNXNYZ4&lid=LSTMOBGHT8UUUNXNYZ4QUY1LJ&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBGHT8UUUNXNYZ4.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"Motorola g45 5G (Brilliant Green, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g45-5g-brilliant-green-128-gb/p/itm156df63edff03?pid=MOBH3YKQQN3S9TQQ&lid=LSTMOBH3YKQQN3S9TQQIXCQDO&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_26&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBH3YKQQN3S9TQQ.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"POCO M6 5G (Orion Blue, 64 GB)","₹7,999",https://www.flipkart.com/poco-m6-5g-orion-blue-64-gb/p/itm219e2e342aaeb?pid=MOBH2MFGRGQWVTVG&lid=LSTMOBH2MFGRGQWVTVG6JVPVN&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_27&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBH2MFGRGQWVTVG.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"vivo T3x 5G (Sapphire Blue, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t3x-5g-sapphire-blue-128-gb/p/itm263ed44f56cd5?pid=MOBH4EACJGMTKTNZ&lid=LSTMOBH4EACJGMTKTNZ70XSHR&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBH4EACJGMTKTNZ.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"Motorola g64 5G (Ice Lilac, 256 GB)","₹14,999",https://www.flipkart.com/motorola-g64-5g-ice-lilac-256-gb/p/itm1df450f035292?pid=MOBGY2JUGGJZJQNK&lid=LSTMOBGY2JUGGJZJQNKKF5P9H&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_29&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBGY2JUGGJZJQNK.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹9,999",https://www.flipkart.com/motorola-g45-5g-brilliant-blue-128-gb/p/itm62ccd431c9e5e?pid=MOBH3YKQQDZZ2WZH&lid=LSTMOBH3YKQQDZZ2WZHGOH35A&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_30&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBH3YKQQDZZ2WZH.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"vivo T3x 5G (Sapphire Blue, 128 GB)","₹15,999",https://www.flipkart.com/vivo-t3x-5g-sapphire-blue-128-gb/p/itm263ed44f56cd5?pid=MOBH4EAC8GFJXHHP&lid=LSTMOBH4EAC8GFJXHHPMYAKQS&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_31&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBH4EAC8GFJXHHP.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"vivo T3x 5G (Celestial Green, 128 GB)","₹15,999",https://www.flipkart.com/vivo-t3x-5g-celestial-green-128-gb/p/itm263ed44f56cd5?pid=MOBGZZCDPBFWUMWG&lid=LSTMOBGZZCDPBFWUMWGD5XOMN&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_32&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBGZZCDPBFWUMWG.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"realme 12x 5G (Woodland Green, 128 GB)","₹13,499",https://www.flipkart.com/realme-12x-5g-woodland-green-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6B7WKC4SVZ&lid=LSTMOBGYQ6B7WKC4SVZNEZRW7&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_33&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBGYQ6B7WKC4SVZ.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"realme 12x 5G (Twilight Purple, 128 GB)","₹13,499",https://www.flipkart.com/realme-12x-5g-twilight-purple-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BVK8HYMAG&lid=LSTMOBGYQ6BVK8HYMAGXL2LRY&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_34&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBGYQ6BVK8HYMAG.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"Apple iPhone 15 (Pink, 256 GB)","₹67,999",https://www.flipkart.com/apple-iphone-15-pink-256-gb/p/itmd205d11e1959e?pid=MOBGTAGPFDXBQ9BH&lid=LSTMOBGTAGPFDXBQ9BH7PBY4G&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_35&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBGTAGPFDXBQ9BH.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"POCO M6 5G (Polaris Green, 64 GB)","₹7,999",https://www.flipkart.com/poco-m6-5g-polaris-green-64-gb/p/itm2414d823b78ca?pid=MOBH2MFGSGNCBZHB&lid=LSTMOBH2MFGSGNCBZHBNVZ5M9&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_36&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBH2MFGSGNCBZHB.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"SAMSUNG Galaxy A14 5G (Black, 128 GB)","₹9,999",https://www.flipkart.com/samsung-galaxy-a14-5g-black-128-gb/p/itm432710a1c1cff?pid=MOBGX2Q7AVJS4VPA&lid=LSTMOBGX2Q7AVJS4VPAPE1TZM&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_37&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBGX2Q7AVJS4VPA.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"SAMSUNG Galaxy F05 (Twilight Blue, 64 GB)","₹6,499",https://www.flipkart.com/samsung-galaxy-f05-twilight-blue-64-gb/p/itm84a914081ab93?pid=MOBH4GTXZ9ZRQ3SU&lid=LSTMOBH4GTXZ9ZRQ3SUTOKMZJ&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_38&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBH4GTXZ9ZRQ3SU.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"vivo T3x 5G (Crimson Bliss, 128 GB)","₹15,999",https://www.flipkart.com/vivo-t3x-5g-crimson-bliss-128-gb/p/itm263ed44f56cd5?pid=MOBGZZCDVNWUZSPJ&lid=LSTMOBGZZCDVNWUZSPJ8CT9F2&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_39&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBGZZCDVNWUZSPJ.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)","₹10,999",https://www.flipkart.com/samsung-galaxy-a14-5g-light-green-128-gb/p/itmabe91abe7ba0c?pid=MOBGHT8UU3STRKZS&lid=LSTMOBGHT8UU3STRKZSI7GOCK&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_40&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBGHT8UU3STRKZS.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"SAMSUNG Galaxy A14 5G (Black, 128 GB)","₹10,999",https://www.flipkart.com/samsung-galaxy-a14-5g-black-128-gb/p/itm4e53e4bf801e1?pid=MOBGHT8UR4T25NGB&lid=LSTMOBGHT8UR4T25NGBLLYADS&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_41&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBGHT8UR4T25NGB.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"realme 12x 5G (Twilight Purple, 128 GB)","₹12,499",https://www.flipkart.com/realme-12x-5g-twilight-purple-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BMYWCAZEC&lid=LSTMOBGYQ6BMYWCAZECB5I66N&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_42&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBGYQ6BMYWCAZEC.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"realme 12x 5G (Woodland Green, 128 GB)","₹12,499",https://www.flipkart.com/realme-12x-5g-woodland-green-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BETBWFTDH&lid=LSTMOBGYQ6BETBWFTDHJLSPJZ&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_43&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBGYQ6BETBWFTDH.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,225",https://www.flipkart.com/nokia-105-single-sim-keypad-mobile-phone-wireless-fm-radio/p/itm1b5465d126eb5?pid=MOBGQFVGYU2F5CYT&lid=LSTMOBGQFVGYU2F5CYTRPXNNC&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_44&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBGQFVGYU2F5CYT.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"Motorola Edge 50 Fusion (Forest Green, 256 GB)","₹23,999",https://www.flipkart.com/motorola-edge-50-fusion-forest-green-256-gb/p/itm372843264e10a?pid=MOBHYVFV3RNAGXF6&lid=LSTMOBHYVFV3RNAGXF6A8TQA2&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_45&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBHYVFV3RNAGXF6.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"Motorola Edge 50 Fusion (Forest Blue, 128 GB)","₹21,999",https://www.flipkart.com/motorola-edge-50-fusion-forest-blue-128-gb/p/itm32aa01db0debf?pid=MOBGXTYZMJK85GFG&lid=LSTMOBGXTYZMJK85GFGHTK438&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_46&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBGXTYZMJK85GFG.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g45-5g-brilliant-blue-128-gb/p/itm1decbdd265f94?pid=MOBH3YKQT2HEAPAM&lid=LSTMOBH3YKQT2HEAPAMKGOCTP&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_47&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBH3YKQT2HEAPAM.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
"POCO M6 5G (Galactic Black, 64 GB)","₹7,999",https://www.flipkart.com/poco-m6-5g-galactic-black-64-gb/p/itm4c00882e0ad97?pid=MOBH2MFGXY7CCHFK&lid=LSTMOBH2MFGXY7CCHFKPACKMN&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_2_48&otracker=search&otracker1=search&fm=Search&iid=0d40e807-6007-4713-9cd7-3c227b0e53a6.MOBH2MFGXY7CCHFK.SEARCH&ppt=sp&ppn=sp&ssid=sn8fxe1vwc3n40sg1728902934581&qH=f7a42fe7211f98ac
